;== NAME      RA           Dec        Lon         Lat     DESIGN NVISITS       TYPE SURV PRI  MJD   HA   COMMENTS ==
  K02-080+18  285.9041     49.1962     79.5092     18.3167 100     1    kep_apokasc  N    9  Y1    1.0 ;K2_APOKASC
  K03-077+20  282.5456     47.4204     76.9430     19.8195 100     1    kep_apokasc  N    9  Y1   -2.0 ;K3_APOKASC
  K04-083+13  295.6957     49.9017     82.8417     12.7941 100     1    kep_apokasc  N    9  Y1    1.0 ;K4_APOKASC
  K05-080+14  291.9041     48.4365     80.3695     14.3802 100     1    kep_apokasc  N    9  Y1    1.0 ;K5_APOKASC
  K06-078+16  288.4125     46.8752     77.9046     15.8987 100     1    kep_apokasc  N    9  Y1    1.0 ;K6_APOKASC
  K07-075+17  285.0706     45.2130     75.3874     17.4238 100     1    kep_apokasc  N    9  Y1   -1.0 ;K7_APOKASC
  K08-073+19  281.9166     43.4529     72.8203     18.9195 100     1    kep_apokasc  N    9  Y1   -3.0 ;K8_APOKASC
  K09-081+11  297.4999     47.3985     81.1563     10.5665 100     1    kep_apokasc  N    9  Y1    0.0 ;K9_APOKASC
  K10-079+12  294.1249     46.0047     78.7979     11.9624 100     1    kep_apokasc  N    9  Y1    2.0 ;K10_APOKASC
  K11-076+13  290.6749     44.4662     76.2920     13.4763 100     1    kep_apokasc  N    9  Y1    2.0 ;K11_APOKASC
  K12-074+15  287.3999     42.8840     73.8041     14.9919 100     1    kep_apokasc  N    9  Y1    2.0 ;K12_APOKASC
  K13-071+16  284.2792     41.1869     71.2514     16.4800 100     1    kep_apokasc  N    9  Y1   -3.0 ;K13_APOKASC
  K14-080+08  299.6499     44.8714     79.6822      8.0193 100     1    kep_apokasc  N    9  Y1    0.0 ;K14_APOKASC
  K15-077+10  296.1292     43.5167     77.2295      9.5458 100     1    kep_apokasc  N    9  Y1    2.0 ;K15_APOKASC
  K16-075+11  292.7707     42.0902     74.7840     11.0677 100     1    kep_apokasc  N    9  Y1    2.0 ;K16_APOKASC
  K17-072+13  289.5624     40.5389     72.2835     12.5581 100     1    kep_apokasc  N    9  Y1    2.0 ;K17_APOKASC
  K18-070+14  286.4874     38.9081     69.7538     14.0383 100     1    kep_apokasc  N    9  Y1    3.0 ;K18_APOKASC
